Dates,Temperature,Precipitation,Wind_Speed,Wind_Direction 
20200726T0000,40.42547444,0,7.684151,146.30994
20200726T0100,39.78547778,0,7.1482625,153.43495
20200726T0200,38.89547556,0,7.078424,160.20113
20200726T0300,38.13547222,0,6.992683,162.25533
20200726T0400,37.46547222,0,6.8491225,166.50427
20200726T0500,36.87547444,0,7.0533133,169.11447
20200726T0600,36.82547778,0,7.3150935,169.50853
20200726T0700,40.70547222,0,6.270311,167.73523
20200726T0800,43.94547222,0,7.8712068,156.0375
20200726T0900,46.29547556,0,8.275568,146.82149
20200726T1000,48.09547222,0,8.495612,131.18591
20200726T1100,49.34547222,0,9.320193,120.96376
20200726T1200,50.24547222,0,10.636002,112.0679
20200726T1300,50.61547222,0,11.712514,107.19854
20200726T1400,50.67547222,0,12.540622,102.26477
20200726T1500,50.25547444,0,13.534064,100.20397
20200726T1600,49.26547778,0,13.944709,96.58194
20200726T1700,47.28547222,0,13.121384,95.82633
20200726T1800,42.99547222,0,11.343135,99.46232
20200726T1900,41.67547444,0,9.8568,108.92464
20200726T2000,40.62547444,0,10.3656645,115.90651
20200726T2100,39.93547222,0,10.052851,122.00538
20200726T2200,39.55547222,0,9.014403,124.1597
20200726T2300,39.49547778,0,8.365129,127.23483
20200727T0000,39.475475,0,7.348971,133.53119
20200727T0100,39.27547444,0,6.6172385,139.8991
20200727T0200,39.07547222,0,6.503653,145.00798
20200727T0300,38.84547778,0,6.4378467,155.55605
20200727T0400,38.56547444,0,6.1503215,162.34987
20200727T0500,38.27547778,0,6.3322554,165.37912
20200727T0600,37.91547222,0,6.8491225,166.50427
20200727T0700,41.77547444,0,5.897015,161.56505
20200727T0800,44.85547222,0,8.102239,152.59242
20200727T0900,46.98547222,0,8.795236,144.86581
20200727T1000,48.63547222,0,9.608882,133.8767
20200727T1100,49.80547222,0,9.910653,126.25384
20200727T1200,50.67547222,0,10.971024,119.054596
20200727T1300,51.18547222,0,11.685216,114.22774
20200727T1400,51.22547778,0,12.2225065,110.409874
20200727T1500,50.86547,0,12.990926,105.46121
20200727T1600,49.99547222,0,13.061753,101.76829
20200727T1700,48.41547778,0,12.700883,99.65989
20200727T1800,44.75547222,0,10.345105,101.88866
20200727T1900,44.24547222,0,8.710098,113.42868
20200727T2000,43.11547778,0,6.595754,136.63657
20200727T2100,42.23547222,0,6.2134624,149.03624
20200727T2200,41.35547222,0,6.080693,151.18921
20200727T2300,40.51547778,0,5.4919763,157.16635
20200728T0000,40.10547222,0,5.3079824,162.47443
20200728T0100,39.645475,0,5.694981,169.2157
20200728T0200,39.17547444,0,5.9150395,172.23483
20200728T0300,38.74547222,0,5.8849683,174.80557
20200728T0400,38.29547444,0,6.399148,177.61406
20200728T0500,37.93547778,0,6.6653256,177.7094
20200728T0600,38.20547222,0,7.463956,177.95459
20200728T0700,42.40547222,0,6.9468617,175.60129
20200728T0800,45.14547556,0,8.955161,157.24902
20200728T0900,47.11547222,0,10.028111,140.38931
20200728T1000,48.71547222,0,10.752136,131.98721
20200728T1100,49.92547222,0,10.656,126.869896
20200728T1200,50.825475,0,10.738927,119.74487
20200728T1300,51.365475,0,11.333747,113.55226
20200728T1400,51.53547222,0,11.380612,110.556046
20200728T1500,51.21547222,0,11.79403,108.434944
20200728T1600,50.42547222,0,12.222506,106.460014
20200728T1700,48.82547222,0,11.442802,102.09476
20200728T1800,45.30547222,0,9.44124,106.38954
20200728T1900,44.12547778,0,8.710098,113.42868
20200728T2000,43.03547222,0,5.0052013,154.79887
20200728T2100,42.04547444,0,6.0102577,167.19574
20200728T2200,40.86547222,0,6.1329885,177.51045
20200728T2300,39.60547556,0,5.8608,180
20200729T0000,38.88547222,0,5.8608,180
20200729T0100,38.27547778,0,5.5943995,180
20200729T0200,37.71547222,0,6.1272,180
20200729T0300,37.345475,0,6.415762,175.23636
20200729T0400,36.99547778,0,6.7077804,173.15723
20200729T0500,36.63547222,0,6.4817924,170.53767
20200729T0600,36.95547222,0,7.3150935,169.50853
20200729T0700,41.34547778,0,6.4046907,163.07248
20200729T0800,44.48547222,0,5.4919763,157.16635
20200729T0900,46.47547222,0,6.6172385,139.8991
20200729T1000,48.17547222,0,6.823169,128.6598
20200729T1100,49.45547222,0,7.093447,124.28687
20200729T1200,50.36547222,0,7.74395,116.56505
20200729T1300,50.90547222,0,7.5818768,108.434944
20200729T1400,51.04547222,0,7.8395867,99.7824
20200729T1500,50.77547222,0,8.275568,93.69138
